sample  ,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,tumor,cell_line,E2_status
Adrenal.22,121006,4.283551936,4.368987245,3.362537617,0.006330498,0.999954013,Adrenal,MCF7,E2
Adrenal.22,102723955,4.269486363,4.435495987,2.532620957,0.012056441,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9256,4.246195019,4.331512539,3.329829156,0.006797099,0.999954013,Adrenal,MCF7,E2
Adrenal.22,338382,4.23968251,4.405513121,2.508389889,0.012699931,0.999954013,Adrenal,MCF7,E2
Adrenal.22,282996,4.23968251,4.405513121,2.508389889,0.012699931,0.999954013,Adrenal,MCF7,E2
Adrenal.22,23316,4.23968251,4.405513121,2.508389889,0.012699931,0.999954013,Adrenal,MCF7,E2
Adrenal.22,10655,4.23968251,4.405513121,2.508389889,0.012699931,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84848,4.23968251,4.405513121,2.508389889,0.012699931,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4992,4.229938635,4.683047096,1.482339133,0.03498141,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9103,4.228588779,4.543016644,1.814276846,0.024590564,0.999954013,Adrenal,MCF7,E2
Adrenal.22,81029,4.228588779,4.543016644,1.814276846,0.024590564,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3891,4.228588779,4.543016644,1.814276846,0.024590564,0.999954013,Adrenal,MCF7,E2
Adrenal.22,940,4.228588779,4.543016644,1.814276846,0.024590564,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100289574,4.215656848,4.668547526,1.472891816,0.035705809,0.999954013,Adrenal,MCF7,E2
Adrenal.22,83758,4.203379768,4.368987245,2.479007903,0.01352548,0.999954013,Adrenal,MCF7,E2
Adrenal.22,653643,4.202225616,4.314710184,2.94093086,0.009405352,0.999954013,Adrenal,MCF7,E2
Adrenal.22,653598,4.190318387,4.642817251,1.456210049,0.03702218,0.999954013,Adrenal,MCF7,E2
Adrenal.22,169792,4.182795013,4.240089511,3.79242814,0.005664497,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3798,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9182,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3651,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,145407,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,116441,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,781,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,59272,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5251,4.166139903,4.331512539,2.44902121,0.014422209,0.999954013,Adrenal,MCF7,E2
