genes,logFC
4005,3.698309867
196500,3.698309867
3798,3.698309867
8639,3.698309867
400618,3.698309867
729723,3.698309867
401014,3.698309867
7060,3.698309867
285848,3.698309867
60468,3.698309867
51384,3.698309867
27147,3.698309867
100189177,3.698309867
79898,-3.687224864
3747,-3.007491939
2688,3.016203499
3753,3.566646102
102465433,-3.475161309
27286,2.866870422
101927914,3.642244951
80070,3.32841704
388406,3.32841704
221458,3.32841704
136288,3.32841704
3293,3.32841704
8001,-3.007949094
2938,3.181639532
2813,3.167351294
83659,3.167351294
2043,-2.791039694
126231,-3.155918803
105375816,-3.594902766
25822,-3.594902766
100129543,-3.285349963
219681,3.01832952
6474,3.290183355
94120,3.290183355
1579,3.583912882
7143,3.583912882
118856,3.583912882
253738,3.583912882
220032,3.583912882
84623,3.583912882
10516,3.583912882
102724927,3.583912882
400550,3.583912882
27091,3.583912882
147719,3.583912882
165186,3.583912882
150356,3.583912882
117248,3.583912882
5948,3.583912882
221981,3.583912882
25769,3.583912882
54413,3.583912882
1821,3.583912882
387990,-3.941052014
338382,3.93296881
146857,3.93296881
6414,3.93296881
4166,3.375298682
284434,3.250908769
491,3.250908769
10317,3.029510503
3756,3.10873976
5787,3.10873976
114780,3.10873976
3568,3.10873976
3106,-3.894636815
5284,3.523122546
138881,3.523122546
374872,2.99705409
132203,2.825628001
5744,3.501856222
5778,2.732011839
129881,2.856762727
4336,3.047645843
25890,3.047645843
53833,3.047645843
5137,3.047645843
646817,3.846739125
441818,3.846739125
401647,3.168998795
55576,3.168998795
114795,3.168998795
3681,3.168998795
165829,3.168998795
139735,3.168998795
4135,2.815963168
645784,4.204429025
163720,3.459657596
58504,3.459657596
196883,3.459657596
9001,3.459657596
23025,3.459657596
7850,3.459657596
101927932,3.459657596
942,3.459657596
7200,3.459657596
101927808,3.459657596
383,3.459657596
168090,3.459657596
58160,3.459657596
92973,3.459657596
23157,3.459657596
492,3.459657596
121643,2.930378208
57731,2.930378208
283575,3.126231176
128344,2.983849935
148281,2.983849935
53904,2.983849935
23581,2.983849935
56203,2.983849935
65217,2.853825672
375611,2.904492992
753,-2.633550666
55711,2.695659591
9383,-2.675988283
116362,-3.390388044
56985,-3.390388044
9715,3.755026025
6853,3.755026025
6097,2.730921543
3488,-6.660261483
100169760,-5.852450545
273,6.207045948
54809,-5.779673443
55816,6.426637551
91156,6.196670692
54769,6.040807646
101928687,-5.090604533
1836,4.846877307
8618,5.421966111
83889,5.770022215
857,-4.932851537
56999,4.753371352
79895,5.426979902
5175,4.981862873
54768,5.013650466
6898,5.047183811
374,-4.666949641
9496,4.808953314
342538,5.135699687
222256,5.497631273
858,-4.760816477
5104,4.513641748
4584,4.715077217
1770,5.404764449
123041,5.388688389
23114,4.973723421
7035,-4.707804308
10752,5.758786841
10071,4.443946549
389643,5.713159
1384,4.998214158
57709,5.198910519
22989,5.617331689
10125,-4.317657586
440730,5.161553603
5314,4.778206681
26085,4.610413667
3778,5.123203601
114795,5.123203601
168507,5.123203601
161142,5.103639414
114815,5.083806268
89766,5.083806268
1382,-4.236402545
256076,5.04330279
1769,5.022616488
167838,5.001629253
57451,4.958716041
5125,4.958716041
728194,5.345565412
3479,4.914487132
5923,4.914487132
4916,4.914487132
285401,4.914487132
50939,4.914487132
9472,4.551976464
5649,4.551976464
79987,4.551976464
7477,-4.535415688
100288805,4.314199787
4680,-4.063301451
154664,4.521030354
653641,4.868859291
3852,-4.195906883
10561,-4.233100649
3745,4.393082787
6098,4.821741125
3429,-3.892582583
2813,4.299055622
2321,4.457072589
53340,5.220694353
654463,4.440630085
101927774,5.203637439
5648,4.77303198
8556,3.913383638
128102,4.407171979
79747,5.153957063
9734,4.72262065
84443,4.72262065
3694,-3.93786947
105375661,4.503906524
10150,-4.004780894
3827,4.93915946
7503,-3.827162249
773,4.355483355
169792,4.182795013
54739,-3.857089024
344658,5.083982219
3603,4.670383845
5137,4.319965903
158326,4.319965903
256158,4.319965903
3437,-3.906078291
753,-3.81780364
121006,4.283551936
9249,-4.025645765
64072,4.616184373
7038,4.616184373
25769,4.616184373
26828,-3.805611414
3691,-3.672059836
9256,4.246195019
126638,4.559868975
480,4.559868975
643677,4.559868975
4025,4.559868975
2570,4.559868975
202052,3.821659941
26034,4.530864882
270,4.02666468
9900,4.02666468
100131626,-4.934043701
8515,3.856796819
85397,4.501265703
6515,4.501265703
100129940,4.501265703
80125,4.501265703
129530,4.501265703
80122,4.501265703
3269,4.501265703
389434,4.501265703
245972,4.501265703
