genes,logFC
10237,-3.446046824
10670,-3.446046824
1326,-3.463701248
84869,-3.463701248
116984,-3.498374904
80067,-3.548871235
202915,-3.565318073
2009,-3.581579528
56731,-3.597653794
7675,-3.597659732
171392,-3.597659732
57575,-3.601220016
81577,-3.631480755
1939,-3.644852147
55004,-3.660246026
7138,-3.660246026
57610,-3.69054961
401321,-3.698027084
84154,-3.705466002
10690,-3.720229745
4221,-3.734843934
51109,-3.734843934
199692,-3.734843934
124454,-3.763635557
23515,-3.763635557
159,-3.777818725
58493,-3.777818725
55789,-3.791863814
10529,-3.806732108
23429,-3.819550331
114884,-3.82638973
3992,-3.846444985
1627,-3.873378622
80167,-3.873388558
79031,-3.886527636
1838,-3.912471507
493856,-3.930002058
132430,-3.950532975
27249,-3.987616054
7594,-4.025791623
10371,-4.04737855
79692,-4.054052478
5433,-4.08208274
153527,-4.130564503
9831,-4.173495812
5376,-4.23383477
56108,-4.29425516
57335,-4.331282216
11228,-4.361747576
10206,-4.387411571
22905,-4.613280385
55167,-4.811164643
57211,-5.283291522
1048,-5.476023818
100169751,-6.127719685
100169753,-6.166670793
100169754,-6.166670793
100169755,-6.168056127
100169756,-6.169817359
100169757,-6.169817359
100169758,-6.169817359
100169759,-6.17245518
