genes,logFC
53981,-3.352995579
7428,-3.355907872
57568,-3.356896094
8315,-3.356896094
64282,-3.356896094
92906,-3.356896094
64105,-3.371661946
677765,-3.371661946
55055,-3.381723208
4575,-3.385114334
254394,-3.3862782
84131,-3.3862782
80222,-3.39353117
8969,-3.397534863
5599,-3.401217935
56834,-3.401217935
387254,-3.405491174
54606,-3.415073832
57541,-3.415073832
9674,-3.429120865
162966,-3.429120865
7477,-3.429120865
158401,-3.429120865
80209,-3.429306309
1287,-3.431158856
27333,-3.438753896
286410,-3.438753896
23558,-3.443305943
22893,-3.456494352
162655,-3.456494352
10150,-3.457217487
51072,-3.475187806
4851,-3.481244498
6451,-3.481872664
146057,-3.483358115
284454,-3.483358115
1512,-3.484644494
57655,-3.484644494
7164,-3.485308379
6050,-3.496604714
27346,-3.498164914
100169760,-3.499222221
10938,-3.509730791
5433,-3.511559801
23139,-3.522054524
26148,-3.524831464
23138,-3.526643724
6772,-3.529743358
1994,-3.531421791
84844,-3.535630012
7743,-3.535630012
23341,-3.561072479
2009,-3.561072479
5292,-3.561072479
5160,-3.573510533
60673,-3.586074023
79170,-3.586074023
50509,-3.586074023
134492,-3.586074023
54468,-3.586074023
84619,-3.589417972
1537,-3.589417972
6654,-3.595983917
51363,-3.610649667
84274,-3.610649667
833,-3.622782263
55270,-3.622782263
375790,-3.630652554
80135,-3.634813678
56967,-3.634813678
56006,-3.634813678
526,-3.634813678
116447,-3.639082928
83872,-3.64110877
171024,-3.651569029
81855,-3.658579619
55620,-3.658579619
8541,-3.658579619
51629,-3.663288634
135398,-3.669985114
643836,-3.672928593
753,-3.680912286
100189045,-3.681960393
122704,-3.681960393
80169,-3.693510205
10040,-3.698852334
90550,-3.704968286
5715,-3.704968286
3029,-3.704968286
8346,-3.71341564
51100,-3.716336082
5427,-3.716336082
105371409,-3.749911714
7593,-3.749911714
64135,-3.750844436
10614,-3.756243745
10056,-3.756243745
27148,-3.771869067
63935,-3.771869067
7357,-3.777150365
6778,-3.784105401
7311,-3.790644814
55206,-3.791516519
3915,-3.793159178
643911,-3.793497241
8335,-3.793497241
440145,-3.804190941
100126533,-3.830714801
54788,-3.83580452
51320,-3.83580452
1176,-3.846190289
116039,-3.846190289
1303,-3.853110783
29880,-3.856501825
182,-3.866740184
25777,-3.866740184
29128,-3.870862139
493,-3.875001641
11101,-3.876906396
23032,-3.885328359
10102,-3.897026398
55970,-3.905762652
23397,-3.906982144
121274,-3.916869658
7991,-3.916869658
3872,-3.917220658
4363,-3.93588145
51741,-3.93588145
54453,-3.936443687
1038,-3.936443687
83607,-3.940404758
65003,-3.955755693
84272,-3.955755693
100507246,-3.970331822
388152,-3.972409118
26094,-3.974812599
91869,-3.974812599
10165,-3.974812599
171019,-3.987393469
1265,-3.993621055
728294,-3.993621055
51696,-3.993621055
55621,-4.010183726
140901,-4.012187457
7486,-4.012187457
58513,-4.013803502
64837,-4.030517957
7273,-4.039596601
29799,-4.045197486
51134,-4.048618473
64745,-4.048618473
6777,-4.066494705
29093,-4.084152143
374819,-4.099176683
11342,-4.100048175
7005,-4.101596079
54534,-4.101596079
27291,-4.118831614
26000,-4.126406615
8871,-4.135863668
23015,-4.145848904
60674,-4.151001745
58478,-4.152696991
332,-4.156561557
140545,-4.165062741
100529209,-4.182124056
54663,-4.210113396
124401,-4.212454166
283120,-4.233113171
163227,-4.246655297
8666,-4.248280784
54780,-4.249769684
101735302,-4.25308908
7029,-4.302407765
3607,-4.332908938
79892,-4.340720526
125058,-4.347921065
80022,-4.355336781
23413,-4.355336781
22853,-4.355368953
10410,-4.408818833
56919,-4.412364523
1054,-4.412364523
10092,-4.417170071
128710,-4.419337063
3213,-4.423397622
50999,-4.44689505
80198,-4.462778025
79073,-4.552146471
28964,-4.558476552
10849,-4.574853184
5546,-4.583522735
192111,-4.595884634
340481,-4.608141508
55763,-4.632347214
221927,-4.714005236
55008,-4.725302325
10245,-4.76538295
1196,-4.800030533
56108,-4.833240923
9708,-4.833240923
56941,-4.844060221
283209,-4.894970133
80144,-4.894970133
26155,-4.897469074
84733,-4.90494003
54870,-4.90494003
5813,-4.914841502
84187,-4.917354038
26030,-4.924675481
341640,-4.959504031
169200,-4.98471738
8777,-5.010289055
25804,-5.019495485
147798,-5.034746788
9454,-5.036166268
440905,-5.054900473
441478,-5.05887112
56100,-5.065020565
1191,-5.095465195
85441,-5.099136006
4676,-5.121350686
63826,-5.150152903
137392,-5.166146461
84898,-5.167633802
375743,-5.175891685
8884,-5.251075638
6520,-5.266387931
5379,-5.279078892
9866,-5.301967518
7422,-5.424851563
56107,-5.449692452
9830,-5.531664962
23129,-5.827352379
56103,-6.1533096
123591,8.905418259
3215,7.840452509
161497,7.808469535
29935,7.694221352
100337591,7.545688175
1582,7.545688175
80039,7.360994682
1840,7.224139566
