genes,logFC
3857,3.827543063
8291,3.827543063
100126791,3.827543063
2895,3.827543063
105375205,3.827543063
157273,3.827543063
202052,3.821659941
7728,3.785669078
85452,3.77504976
283460,3.77504976
84667,3.77504976
100131726,3.77504976
81796,3.755025261
146177,3.741728752
43849,3.741728752
646214,3.732649717
912,3.728834337
1109,3.728834337
25891,3.728834337
8608,3.728834337
341880,3.728834337
23495,3.728834337
80034,3.728834337
116835,3.728834337
100861519,3.728834337
2324,3.728834337
2636,3.728834337
100859921,3.728834337
4920,3.728834337
347273,3.728834337
22854,3.727943926
56896,3.727943926
144321,3.71860183
55889,3.714567742
342096,3.702356601
2078,3.70082579
131034,3.69058701
114792,3.676826127
642924,3.676826127
100132529,3.672942856
56944,3.644510391
150,3.644510391
256764,3.644510391
221711,3.644510391
140803,3.644510391
3766,3.622872713
283375,3.622872713
84101,3.622872713
285352,3.622872713
199221,3.622872713
344887,3.622872713
10855,3.622872713
101927353,3.622872713
401236,3.622872713
30010,3.622872713
1395,3.622872713
1183,3.622872713
1536,3.622872713
6304,3.58590712
143162,3.555687925
728882,3.528600156
644150,3.52482218
25802,3.508507211
55220,3.508507211
101669762,3.508507211
117144,3.508507211
399967,3.508507211
124404,3.508507211
718,3.508507211
390928,3.508507211
344454,3.508507211
102724820,3.508507211
254240,3.508507211
64091,3.508507211
10333,3.508507211
345079,3.508507211
442117,3.508507211
94137,3.508507211
392307,3.508507211
138881,3.508507211
25878,3.508507211
255101,3.487749448
6447,3.477662054
11122,3.470756333
51555,3.468256819
80133,3.461036061
4143,3.461036061
25758,3.461036061
8857,3.461036061
339761,3.461036061
399,3.461036061
1612,3.461036061
5992,3.447734648
54550,3.447734648
101927759,3.447734648
57705,3.443520539
79628,3.443520539
114780,3.434406173
441666,3.415749325
5787,3.400869212
2901,3.397892698
3756,3.394298771
284083,3.394298771
284,3.394298771
121601,3.390838309
131149,3.359735555
2104,3.353630803
115019,3.324323926
57722,3.324323926
284021,3.324323926
105374378,3.324323926
57091,3.324323926
132203,3.324323926
27012,3.324323926
105373990,3.31870379
9715,3.311119129
5080,3.309253185
100130100,3.306839496
23414,3.302065387
2984,3.298452872
147872,3.298452872
