genes,logFC
84675,3.429641147
2688,3.404033428
1193,3.359418978
100129196,3.347034683
2706,3.314904462
9148,3.311624042
23284,3.311624042
35,3.289229788
339862,3.285549985
100874243,3.238521561
3683,3.238083566
57633,3.238083566
195814,3.238083566
6781,3.2260792
4661,3.199858062
7852,3.193982575
10100,3.186583728
56241,3.186583728
3358,3.186583728
146177,3.186266886
6097,3.176836804
12,3.173013087
219738,3.16059211
10417,3.16059211
948,3.159299119
57010,3.159030689
3868,3.142693629
105374278,3.130901646
3486,3.129980474
728378,3.120405937
8001,3.115853866
80070,3.10854865
7980,3.105016218
283120,3.034205077
1733,3.017469346
6340,3.007852499
79973,3.007852499
220441,3.0045808
151354,2.992398653
429,2.991137655
100506930,2.98485862
56924,2.972653078
3801,2.956385877
51129,2.949637772
84952,2.939361139
55024,2.937741328
283316,2.912822317
90102,2.882898602
9846,2.873143307
440905,2.860698839
55089,2.847340875
8564,2.846349358
445582,2.840988793
1903,2.836647046
3570,2.825574551
1475,2.816867444
100033819,2.803697992
2330,2.789468905
10397,2.783249316
1847,2.777231771
23581,2.750288653
3678,2.688768024
1345,2.674185589
23586,-2.652645964
1038,-2.681472475
140730,-2.751175359
168667,-2.809042663
4599,-2.839814415
653149,-2.840522556
10272,-2.843122393
6091,-2.875281784
93556,-2.90791891
7042,-2.908478188
158471,-2.93402506
3434,-2.980749852
23533,-2.994621827
692099,-3.028062469
4938,-3.036460579
151230,-3.038942066
65999,-3.038942066
1289,-3.056157601
100526832,-3.075156104
92370,-3.077478155
58499,-3.086843746
54739,-3.094119443
2200,-3.101769376
79633,-3.132864055
83872,-3.174371073
684,-3.187172252
3914,-3.19012851
28965,-3.200129656
100302175,-3.200129656
54553,-3.210687007
113230,-3.220394372
2902,-3.230618681
857,-3.231544754
9465,-3.245239178
53358,-3.245239178
26813,-3.278983151
53353,-3.301298745
2568,-3.308358174
10082,-3.311955873
10690,-3.340757102
152485,-3.34983855
1946,-3.34983855
55601,-3.369871054
3429,-3.394554433
400960,-3.406580114
1462,-3.408975538
3437,-3.411938583
101928944,-3.421645837
342945,-3.421645837
4600,-3.46214173
441631,-3.478115644
147645,-3.478115644
9355,-3.478115644
3563,-3.478115644
105221694,-3.520830866
26834,-3.583184568
101928728,-3.584025345
3770,-3.584025345
4208,-3.584025345
158787,-3.584025345
51601,-3.609331014
8519,-3.609903955
223117,-3.624937018
347731,-3.630905916
129607,-3.658089066
3694,-3.661794986
171019,-3.680090228
715,-3.682689016
145957,-3.682689016
9383,-3.686655044
140803,-3.708488645
6566,-3.757186819
84166,-3.775034985
317751,-3.775034985
