sample  ,gene,logFC,cell_line,E2_status
Bone.4,160762,2.702210892,MCF7,E2
Bone.4,101805492,2.702210892,MCF7,E2
Bone.4,414328,2.702210892,MCF7,E2
Bone.4,10248,2.67810439,MCF7,E2
Bone.4,10920,2.663653346,MCF7,E2
Bone.4,84246,2.659444574,MCF7,E2
Bone.4,285331,2.652017135,MCF7,E2
Bone.4,84795,2.624097113,MCF7,E2
Bone.4,6546,2.581907272,MCF7,E2
Bone.4,222236,2.577546944,MCF7,E2
Bone.4,158,2.55949322,MCF7,E2
Bone.4,253980,2.548804458,MCF7,E2
Bone.4,7267,-2.706843875,MCF7,E2
Bone.4,3149,-2.743660103,MCF7,E2
Bone.4,10451,-2.811399822,MCF7,E2
Bone.4,100500862,-2.819345663,MCF7,E2
Bone.4,5685,-2.875829097,MCF7,E2
Bone.4,8349,-2.887231668,MCF7,E2
Bone.4,214,-2.89024763,MCF7,E2
Bone.4,3301,-2.89024763,MCF7,E2
Bone.4,6139,-2.89474219,MCF7,E2
Bone.4,55729,-2.926464829,MCF7,E2
Bone.4,1287,-2.929171284,MCF7,E2
Bone.4,11254,-2.9392429,MCF7,E2
Bone.4,151636,-2.967595788,MCF7,E2
Bone.4,375056,-2.976179623,MCF7,E2
Bone.4,4926,-2.978088304,MCF7,E2
Bone.4,7328,-2.981228662,MCF7,E2
Bone.4,6836,-2.986260093,MCF7,E2
Bone.4,9810,-3.006212157,MCF7,E2
Bone.4,27131,-3.047715709,MCF7,E2
Bone.4,1207,-3.069214154,MCF7,E2
Bone.4,6160,-3.082721625,MCF7,E2
Bone.4,1431,-3.088058596,MCF7,E2
Bone.4,7528,-3.092731495,MCF7,E2
Bone.4,4939,-3.115871621,MCF7,E2
Bone.4,396,-3.120455439,MCF7,E2
Bone.4,103504731,-3.121043504,MCF7,E2
Bone.4,51552,-3.127303972,MCF7,E2
Bone.4,7358,-3.139142842,MCF7,E2
Bone.4,1982,-3.150432536,MCF7,E2
Bone.4,10241,-3.152140734,MCF7,E2
Bone.4,6142,-3.155683598,MCF7,E2
Bone.4,7707,-3.161067313,MCF7,E2
Bone.4,2033,-3.163861609,MCF7,E2
Bone.4,9643,-3.165344378,MCF7,E2
Bone.4,9648,-3.172501617,MCF7,E2
Bone.4,6611,-3.173032181,MCF7,E2
Bone.4,7337,-3.180952435,MCF7,E2
Bone.4,5093,-3.187520364,MCF7,E2
Bone.4,55159,-3.19188243,MCF7,E2
Bone.4,2316,-3.193832313,MCF7,E2
Bone.4,1958,-3.196231348,MCF7,E2
Bone.4,10951,-3.199034104,MCF7,E2
Bone.4,223117,-3.210570262,MCF7,E2
Bone.4,1857,-3.213497095,MCF7,E2
Bone.4,163,-3.22843696,MCF7,E2
Bone.4,3376,-3.308954598,MCF7,E2
Bone.4,375,-3.314966055,MCF7,E2
Bone.4,102466864,-3.326070032,MCF7,E2
Bone.4,7706,-3.326914343,MCF7,E2
Bone.4,11163,-3.343209624,MCF7,E2
Bone.4,6872,-3.360240135,MCF7,E2
Bone.4,3654,-3.371820765,MCF7,E2
Bone.4,65264,-3.37566041,MCF7,E2
Bone.4,8500,-3.382049921,MCF7,E2
Bone.4,11113,-3.389019258,MCF7,E2
Bone.4,4192,-3.413505067,MCF7,E2
Bone.4,831,-3.4172355,MCF7,E2
Bone.4,55818,-3.419848696,MCF7,E2
Bone.4,23376,-3.419848696,MCF7,E2
Bone.4,6223,-3.423808529,MCF7,E2
Bone.4,23023,-3.42744473,MCF7,E2
Bone.4,4848,-3.434552434,MCF7,E2
Bone.4,92154,-3.434552434,MCF7,E2
Bone.4,85403,-3.434552434,MCF7,E2
Bone.4,5230,-3.437582223,MCF7,E2
Bone.4,374354,-3.441848485,MCF7,E2
Bone.4,11091,-3.441848485,MCF7,E2
Bone.4,6744,-3.443496372,MCF7,E2
Bone.4,9219,-3.449107823,MCF7,E2
Bone.4,9950,-3.456330817,MCF7,E2
Bone.4,80381,-3.463517829,MCF7,E2
Bone.4,6428,-3.482784623,MCF7,E2
Bone.4,50488,-3.498925451,MCF7,E2
Bone.4,10818,-3.519760274,MCF7,E2
Bone.4,4012,-3.526638883,MCF7,E2
Bone.4,80124,-3.526638883,MCF7,E2
Bone.4,4605,-3.533484851,MCF7,E2
Bone.4,23576,-3.547080094,MCF7,E2
Bone.4,100128494,-3.547080094,MCF7,E2
Bone.4,23022,-3.547080094,MCF7,E2
Bone.4,9830,-3.558334787,MCF7,E2
Bone.4,9659,-3.564029683,MCF7,E2
Bone.4,6949,-3.56723572,MCF7,E2
Bone.4,5524,-3.573892168,MCF7,E2
Bone.4,10109,-3.5936792,MCF7,E2
Bone.4,64319,-3.596950814,MCF7,E2
Bone.4,3189,-3.599419085,MCF7,E2
Bone.4,8480,-3.606721375,MCF7,E2
Bone.4,93664,-3.619646703,MCF7,E2
Bone.4,2975,-3.625058317,MCF7,E2
Bone.4,4641,-3.626066199,MCF7,E2
Bone.4,10632,-3.629265268,MCF7,E2
Bone.4,222658,-3.632457258,MCF7,E2
Bone.4,4886,-3.633316524,MCF7,E2
Bone.4,64783,-3.641991072,MCF7,E2
Bone.4,57153,-3.651462297,MCF7,E2
Bone.4,6167,-3.652475061,MCF7,E2
Bone.4,64332,-3.653802231,MCF7,E2
Bone.4,6319,-3.658186076,MCF7,E2
Bone.4,23152,-3.663994645,MCF7,E2
Bone.4,140735,-3.676419064,MCF7,E2
Bone.4,23586,-3.682591378,MCF7,E2
