gene,ï..sample,logFC,cell_line,E2_status,hgnc_symbol
1948,Brain.1,-5.318271412,ZR751,ED,EFNB2
1950,Bone.1,3.339751896,MCF7,E2,EGF
1950,Brain.1,3.136018123,ZR751,ED,EGF
1958,Adrenal.3,-3.043372164,MCF7,E2,EGR1
1958,Bone.4,-3.196231348,MCF7,E2,EGR1
1964,Brain.1,-2.882958839,ZR751,ED,EIF1AX
1975,Brain.2,-3.898623376,ZR751,ED,EIF4B
1981,Brain.2,-4.543760599,ZR751,ED,EIF4G1
1982,Bone.2,-4.447163169,MCF7,E2,EIF4G2
1982,Bone.4,-3.150432536,MCF7,E2,EIF4G2
1994,Bone.3,-3.523656721,MCF7,E2,ELAVL1
2005,Bone.4,-5.668338986,MCF7,E2,ELK4
2009,Kidney.1,-3.549273424,MCF7,E2,EML1
2009,Bone.3,-3.553444664,MCF7,E2,EML1
2023,Brain.3,-2.7182842,ZR751,ED,ENO1
2026,Bone.3,-3.035364863,MCF7,E2,ENO2
2029,Brain.2,-4.845980402,ZR751,ED,ENSA
2030,Brain.1,2.609501607,ZR751,ED,SLC29A1
2033,Bone.4,-3.163861609,MCF7,E2,EP300
2033,Bone.2,-3.294335674,MCF7,E2,EP300
2042,Adrenal.1,3.630828677,MCF7,E2,EPHA3
2042,Adrenal.3,2.522019844,MCF7,E2,EPHA3
2043,Adrenal.2,-2.73298153,MCF7,E2,EPHA4
2055,Bone.2,4.037731571,MCF7,E2,CLN8
2057,Brain.1,3.10702325,ZR751,ED,EPOR
2058,Brain.2,-5.210328737,ZR751,ED,EPRS1
2074,Brain.1,-3.559290711,ZR751,ED,ERCC6
2099,Brain.1,6.270024821,ZR751,ED,ESR1
2099,Brain.2,9.834319858,ZR751,ED,ESR1
2104,Adrenal.3,3.433921904,MCF7,E2,ESRRG
2114,Brain.3,5.656276491,ZR751,ED,ETS2
2117,Brain.1,-4.600994425,ZR751,ED,ETV3
2135,Brain.1,3.292203803,ZR751,ED,EXTL2
2139,Adrenal.1,-4.098428043,MCF7,E2,EYA2
2153,Bone.6,-4.226694783,ZR751,ED,F5
2157,Bone.6,-2.857910815,ZR751,ED,F8
2180,Bone.2,4.121229812,MCF7,E2,ACSL1
2184,Bone.4,4.871134273,MCF7,E2,FAH
2186,Bone.2,-2.890381675,MCF7,E2,BPTF
2192,Bone.2,5.446255095,MCF7,E2,FBLN1
2195,Brain.2,-3.642307776,ZR751,ED,FAT1
2196,Bone.6,-4.104135324,ZR751,ED,FAT2
2201,Adrenal.1,-4.880852271,MCF7,E2,FBN2
2201,Brain.1,-4.385149727,ZR751,ED,FBN2
2203,Brain.1,-3.541101743,ZR751,ED,FBP1
2257,Bone.4,3.732535939,MCF7,E2,FGF12
2274,Brain.1,3.173968828,ZR751,ED,FHL2
2274,Bone.4,4.357700008,MCF7,E2,FHL2
2296,Bone.3,2.86229061,MCF7,E2,FOXC1
2310,Brain.3,2.996768964,ZR751,ED,FOXO3B
2312,Bone.6,-3.323155822,ZR751,ED,FLG
2314,Brain.3,-3.40995533,ZR751,ED,FLII
2316,Bone.5,-4.188191209,MCF7,ED,FLNA
2316,Bone.4,-3.193832313,MCF7,E2,FLNA
2330,Brain.2,3.389402699,ZR751,ED,FMO5
2330,Brain.4,2.799797933,MCF7,E2,FMO5
2335,Brain.2,3.024746672,ZR751,ED,FN1
2475,Bone.3,-3.025841753,MCF7,E2,MTOR
2495,Bone.5,-4.023860598,MCF7,ED,FTH1
2515,Brain.4,3.993653219,MCF7,E2,ADAM2
2517,Brain.2,3.34418793,ZR751,ED,FUCA1
2537,Adrenal.3,-2.814999646,MCF7,E2,IFI6
2539,Brain.1,-3.924597192,ZR751,ED,G6PD
2549,Bone.3,-3.272946531,MCF7,E2,GAB1
2567,Brain.3,6.063913797,ZR751,ED,GABRG3
2568,Adrenal.2,-3.635599496,MCF7,E2,GABRP
2568,Adrenal.3,-3.226096045,MCF7,E2,GABRP
2568,Adrenal.1,-6.19953887,MCF7,E2,GABRP
2568,Brain.4,-3.298032796,MCF7,E2,GABRP
2570,Brain.1,3.109924471,ZR751,ED,GABRR2
2582,Brain.2,3.503466493,ZR751,ED,GALE
2583,Kidney.1,3.254014386,MCF7,E2,B4GALNT1
2593,Brain.2,2.72961839,ZR751,ED,GAMT
2597,Bone.5,-2.790110728,MCF7,ED,GAPDH
2622,Bone.4,-3.794823962,MCF7,E2,GAS8
2624,Brain.3,3.31554294,ZR751,ED,GATA2
2625,Bone.5,-3.73206324,MCF7,ED,GATA3
2627,Bone.2,3.944700587,MCF7,E2,GATA6
2644,Bone.4,4.936997184,MCF7,E2,GCHFR
2644,Brain.1,2.716470996,ZR751,ED,GCHFR
2651,Adrenal.3,3.167439987,MCF7,E2,GCNT2
2674,Bone.5,-3.326781128,MCF7,ED,GFRA1
2678,Brain.2,3.229394955,ZR751,ED,GGT1
2683,Brain.3,-3.260007428,ZR751,ED,B4GALT1
2686,Bone.3,3.276905305,MCF7,E2,GGT7
2688,Bone.3,4.968298701,MCF7,E2,GH1
2688,Adrenal.2,3.073790179,MCF7,E2,GH1
2688,Bone.5,9.609469796,MCF7,ED,GH1
2705,Brain.1,3.08609084,ZR751,ED,GJB1
2706,Brain.4,3.325082834,MCF7,E2,GJB2
2719,Kidney.1,4.014026031,MCF7,E2,GPC3
2747,Bone.2,5.152247535,MCF7,E2,GLUD2
2778,Bone.5,-3.802463672,MCF7,ED,GNAS
2782,Brain.2,-3.706901312,ZR751,ED,GNB1
2784,Bone.1,3.438684164,MCF7,E2,GNB3
2803,Brain.2,-3.229026218,ZR751,ED,GOLGA4
2813,Adrenal.3,4.378553373,MCF7,E2,GP2
2813,Adrenal.2,3.224179163,MCF7,E2,GP2
2822,Brain.3,3.012212033,ZR751,ED,GPLD1
2824,Bone.3,3.960366331,MCF7,E2,GPM6B
2870,Bone.3,-3.173932591,MCF7,E2,GRK6
2885,Brain.3,-3.758965048,ZR751,ED,GRB2
2888,Bone.4,3.085706355,MCF7,E2,GRB14
2891,Kidney.1,3.146244597,MCF7,E2,GRIA2
2891,Brain.2,3.995699857,ZR751,ED,GRIA2
2899,Adrenal.3,2.558268732,MCF7,E2,GRIK3
2901,Adrenal.3,3.47731483,MCF7,E2,GRIK5
2902,Brain.4,-3.220439944,MCF7,E2,GRIN1
2904,Brain.3,-3.635281335,ZR751,ED,GRIN2B
2904,Bone.6,-3.518739083,ZR751,ED,GRIN2B
2912,Kidney.1,2.873350645,MCF7,E2,GRM2
2934,Brain.3,-3.847376928,ZR751,ED,GSN
2938,Adrenal.1,2.856069373,MCF7,E2,GSTA1
2938,Adrenal.2,3.238468821,MCF7,E2,GSTA1
2947,Adrenal.2,3.262436419,MCF7,E2,GSTM3
2962,Brain.2,2.800652057,ZR751,ED,GTF2F1
2967,Bone.2,3.170159822,MCF7,E2,GTF2H3
2970,Bone.2,-3.926777428,MCF7,E2,GTF2IP1
2975,Bone.4,-3.625058317,MCF7,E2,GTF3C1
2982,Brain.1,-3.541878158,ZR751,ED,GUCY1A1
2997,Bone.3,-3.08097763,MCF7,E2,GYS1
3007,Bone.4,-4.04552159,MCF7,E2,H1-3
3021,Bone.5,-3.577719954,MCF7,ED,H3-3B
3029,Bone.3,-3.697339993,MCF7,E2,HAGH
3035,Brain.2,2.936776827,ZR751,ED,HARS1
3038,Brain.3,3.013535417,ZR751,ED,HAS3
3064,Brain.3,-4.268341078,ZR751,ED,HTT
3092,Bone.3,-2.591196747,MCF7,E2,HIP1
3099,Bone.2,2.657689864,MCF7,E2,HK2
3104,Kidney.1,2.674481908,MCF7,E2,ZBTB48
3110,Bone.4,3.333935811,MCF7,E2,MNX1
3110,Brain.1,2.765307437,ZR751,ED,MNX1
3142,Brain.1,4.017008797,ZR751,ED,HLX
3146,Bone.5,3.78068473,MCF7,ED,HMGB1
3149,Bone.2,-3.75656302,MCF7,E2,HMGB3
3149,Bone.4,-2.743660103,MCF7,E2,HMGB3
3150,Bone.2,-5.182878173,MCF7,E2,HMGN1
3158,Brain.3,4.088229892,ZR751,ED,HMGCS2
3161,Kidney.1,-3.070771612,MCF7,E2,HMMR
3164,Bone.3,2.617719094,MCF7,E2,NR4A1
3169,Brain.2,-4.574828808,ZR751,ED,FOXA1
3178,Bone.2,-3.841293517,MCF7,E2,HNRNPA1
3178,Brain.2,-4.548700058,ZR751,ED,HNRNPA1
3181,Brain.2,-4.501202769,ZR751,ED,HNRNPA2B1
3184,Bone.2,-3.698263663,MCF7,E2,HNRNPD
3187,Bone.2,-3.727901972,MCF7,E2,HNRNPH1
3189,Bone.4,-3.599419085,MCF7,E2,HNRNPH3
3192,Brain.2,-3.041159123,ZR751,ED,HNRNPU
3213,Bone.6,-3.123202948,ZR751,ED,HOXB3
3215,Bone.2,7.859262854,MCF7,E2,HOXB5
3216,Bone.6,-2.956780393,ZR751,ED,HOXB6
3222,Brain.1,2.973505353,ZR751,ED,HOXC5
3248,Adrenal.1,-2.792489769,MCF7,E2,HPGD
3265,Brain.3,3.721236061,ZR751,ED,HRAS
3274,Adrenal.3,3.030449838,MCF7,E2,HRH2
3281,Brain.1,-2.881776895,ZR751,ED,HSBP1
3301,Bone.4,-2.89024763,MCF7,E2,DNAJA1
3312,Bone.2,-4.082776911,MCF7,E2,HSPA8
3313,Bone.2,-3.224365445,MCF7,E2,HSPA9
3315,Bone.3,-3.085267585,MCF7,E2,HSPB1
3326,Bone.5,-3.903246875,MCF7,ED,HSP90AB1
3329,Bone.2,-3.167377939,MCF7,E2,HSPD1
3338,Bone.4,2.791745585,MCF7,E2,DNAJC4
3358,Brain.4,3.196704727,MCF7,E2,HTR2C
3362,Brain.2,5.401525719,ZR751,ED,HTR6
3364,Brain.3,2.767202096,ZR751,ED,HUS1
3364,Bone.4,3.476107245,MCF7,E2,HUS1
3376,Bone.4,-3.308954598,MCF7,E2,IARS1
3397,Bone.3,3.680658989,MCF7,E2,ID1
3397,Bone.4,4.049596809,MCF7,E2,ID1
3397,Bone.6,3.40577716,ZR751,ED,ID1
3399,Bone.6,2.821903687,ZR751,ED,ID3
3400,Bone.3,3.855280873,MCF7,E2,ID4
3400,Bone.4,5.316203915,MCF7,E2,ID4
3419,Bone.3,-3.282289155,MCF7,E2,IDH3A
3420,Bone.4,2.933913827,MCF7,E2,IDH3B
3421,Brain.1,-3.491445952,ZR751,ED,IDH3G
3429,Brain.4,-3.384216074,MCF7,E2,IFI27
3429,Adrenal.3,-3.811539753,MCF7,E2,IFI27
3429,Bone.4,-3.730766374,MCF7,E2,IFI27
3431,Adrenal.3,-2.806432045,MCF7,E2,SP110
3433,Adrenal.3,-3.098263637,MCF7,E2,IFIT2
3434,Adrenal.3,-2.49618229,MCF7,E2,IFIT1
3434,Brain.4,-2.970418973,MCF7,E2,IFIT1
3437,Adrenal.3,-3.825631473,MCF7,E2,IFIT3
3437,Brain.4,-3.401656665,MCF7,E2,IFIT3
3459,Brain.2,3.183125407,ZR751,ED,IFNGR1
3459,Brain.3,2.984152133,ZR751,ED,IFNGR1
3486,Brain.4,3.14028412,MCF7,E2,IGFBP3
3488,Adrenal.3,-6.579480265,MCF7,E2,IGFBP5
3488,Brain.2,-3.002848591,ZR751,ED,IGFBP5
3556,Brain.1,2.839498148,ZR751,ED,IL1RAP
3563,Bone.1,3.542078866,MCF7,E2,IL3RA
3568,Adrenal.2,3.165561659,MCF7,E2,IL5RA
3570,Brain.4,2.835821925,MCF7,E2,IL6R
3607,Bone.3,-4.325142749,MCF7,E2,FOXK2
3623,Brain.4,3.827613169,MCF7,E2,INHA
3654,Bone.4,-3.371820765,MCF7,E2,IRAK1
3678,Brain.4,2.699080228,MCF7,E2,ITGA5
3679,Bone.2,5.321865341,MCF7,E2,ITGA7
3683,Adrenal.3,3.278815375,MCF7,E2,ITGAL
3683,Bone.6,-3.25870384,ZR751,ED,ITGAL
3691,Adrenal.3,-3.590935474,MCF7,E2,ITGB4
3691,Bone.4,-4.149369316,MCF7,E2,ITGB4
3693,Brain.2,3.73572751,ZR751,ED,ITGB5
3694,Adrenal.1,-5.218694181,MCF7,E2,ITGB6
3694,Adrenal.3,-3.85725604,MCF7,E2,ITGB6
3694,Brain.4,-3.651479833,MCF7,E2,ITGB6
3694,Adrenal.2,-2.536702724,MCF7,E2,ITGB6
3696,Bone.6,-3.167421575,ZR751,ED,ITGB8
3698,Bone.3,4.794367852,MCF7,E2,ITIH2
3698,Adrenal.1,3.716833238,MCF7,E2,ITIH2
3710,Bone.4,-4.404109146,MCF7,E2,ITPR3
3725,Bone.4,-4.06455247,MCF7,E2,JUN
3728,Bone.4,-4.3890902,MCF7,E2,JUP
3735,Brain.1,-3.428310421,ZR751,ED,KARS1
3745,Adrenal.2,3.863343562,MCF7,E2,KCNB1
3747,Adrenal.2,-2.949860883,MCF7,E2,KCNC2
3747,Bone.1,2.623210785,MCF7,E2,KCNC2
3752,Adrenal.3,2.939244469,MCF7,E2,KCND3
3756,Adrenal.2,3.165561659,MCF7,E2,KCNH1
