sample  ,gene
Bone.1,84057
Bone.1,55788
Bone.1,64754
Bone.1,84792
Bone.1,3760
Bone.1,1773
Bone.1,991
Bone.1,148327
Bone.1,221656
Bone.1,4117
Bone.1,161835
Bone.1,55734
Bone.1,10084
Bone.1,658
Bone.1,7138
Bone.1,5911
Bone.1,166979
Bone.1,1281
Bone.2,3215
Bone.2,401612
Bone.2,100302182
Bone.2,140885
Bone.2,921
Bone.2,6578
Bone.2,9024
Bone.2,11019
Bone.2,972
Bone.2,7352
Bone.2,400658
Bone.2,93589
Bone.2,390748
Bone.2,100506314
Bone.2,103611081
Bone.2,55504
Bone.2,441234
Bone.2,4135
Bone.2,100134368
Bone.2,2192
Bone.2,100506071
Bone.2,3679
Bone.2,2747
Bone.2,28958
Bone.2,340554
Bone.2,51760
Bone.2,101929141
Bone.2,91419
Bone.2,257144
Bone.2,650655
Bone.2,286480
Bone.2,399948
Bone.2,100294362
Bone.2,23114
Bone.2,51054
Bone.2,100189168
Bone.2,197187
Bone.2,10874
Bone.2,9627
Bone.2,143879
Bone.2,196294
Bone.2,54587
Bone.2,8790
Bone.2,145483
Bone.2,8552
Bone.2,5333
Bone.2,8644
Bone.2,783
Bone.2,100885776
Bone.2,729092
Bone.2,80024
Bone.2,25806
Bone.2,27238
Bone.2,80149
Bone.2,92104
Bone.2,101927181
Bone.2,65072
Bone.2,100189298
Bone.2,401647
Bone.2,79663
Bone.2,340390
Bone.2,2180
Bone.2,65018
Bone.2,64410
Bone.2,142940
Bone.2,2055
Bone.2,348793
Bone.2,80315
Bone.2,101928085
Bone.2,1058
Bone.2,259173
Bone.2,124923
Bone.2,2627
Bone.2,147686
Bone.2,22888
Bone.2,10349
Bone.2,10216
Bone.2,8034
Bone.2,54981
Bone.2,55142
Bone.2,56851
Bone.2,56125
Bone.2,8846
Bone.2,79712
Bone.2,161823
Bone.2,105379282
Bone.2,8997
Bone.2,755
Bone.2,5190
Bone.2,730102
Bone.2,55765
Bone.2,1540
Bone.2,10810
Bone.2,29063
Bone.2,1294
Bone.2,84233
Bone.2,64800
Bone.2,767
Bone.2,53820
Bone.2,388743
Bone.2,27304
Bone.2,338799
Bone.2,10671
Bone.2,80307
Bone.2,644873
Bone.2,10230
Bone.2,100616469
Bone.2,100526694
Bone.2,84549
Bone.2,92935
Bone.2,8692
Bone.2,440585
Bone.2,8575
Bone.2,81559
Bone.2,25992
Bone.2,79095
Bone.2,120526
Bone.2,57143
Bone.2,22944
Bone.2,100874039
Bone.2,57419
Bone.2,9252
Bone.2,55016
Bone.2,29093
Bone.2,4528
Bone.2,91120
Bone.2,10953
Bone.2,1819
Bone.2,11070
Bone.2,55748
Bone.2,6392
Bone.2,54532
Bone.2,137695
Bone.2,5166
Bone.2,2967
Bone.2,23780
Bone.2,693197
Bone.2,4671
Bone.2,401541
Bone.2,56267
Bone.2,83464
Bone.2,339229
Bone.2,23456
Bone.2,8227
Bone.2,100506215
Bone.2,58493
Bone.2,25895
Bone.2,57099
Bone.2,54821
Bone.2,5569
Bone.2,9556
Bone.2,11212
Bone.2,388403
Bone.2,427
Bone.2,132660
Bone.2,8897
Bone.2,51010
Bone.2,5890
Bone.2,56929
Bone.2,7538
Bone.2,8496
Bone.2,839
Bone.2,54741
Bone.2,144983
Bone.2,91147
Bone.2,84142
Bone.2,1048
Bone.2,161394
Bone.2,26608
Bone.2,148362
Bone.2,55421
Bone.2,3099
Bone.2,8233
Bone.2,115548
Bone.2,55268
Bone.2,56474
Bone.2,26469
Bone.2,71
Bone.2,6137
Bone.2,821
Bone.2,23521
Bone.2,10399
Bone.2,6224
Bone.2,2186
Bone.2,54014
Bone.2,1345
Bone.2,10376
Bone.2,25836
Bone.2,5573
Bone.2,10992
Bone.2,7057
Bone.2,4571
Bone.2,6772
Bone.2,56252
Bone.2,3921
Bone.2,7764
Bone.2,6171
Bone.2,5241
Bone.2,10512
Bone.2,9939
Bone.2,3329
Bone.2,6138
Bone.2,3313
Bone.2,4841
Bone.2,55870
Bone.2,107
Bone.2,11083
Bone.2,10051
Bone.2,101060684
Bone.2,2033
Bone.2,23248
Bone.2,4522
Bone.2,26770
Bone.2,6193
Bone.2,861
Bone.2,6201
Bone.2,4537
Bone.2,23365
Bone.2,7531
Bone.2,7314
Bone.2,55832
Bone.2,51585
Bone.2,84162
Bone.2,6498
Bone.2,8289
Bone.2,754
Bone.2,57506
Bone.2,54414
Bone.2,10971
Bone.2,23450
Bone.2,57221
Bone.2,29909
Bone.2,57680
Bone.2,80143
Bone.2,5618
Bone.2,348235
Bone.2,10097
Bone.2,7874
Bone.2,1829
Bone.2,9643
Bone.2,5725
Bone.2,23469
Bone.2,11214
Bone.2,595
Bone.2,9669
Bone.2,3184
Bone.2,3187
Bone.2,3875
Bone.2,100529239
Bone.2,1917
Bone.2,57532
Bone.2,3149
Bone.2,8826
Bone.2,11098
Bone.2,7167
Bone.2,23225
Bone.2,23204
Bone.2,23352
Bone.2,3178
Bone.2,8338
Bone.2,1660
Bone.2,677770
Bone.2,1786
Bone.2,2970
Bone.2,103
Bone.2,5062
Bone.2,100093631
Bone.2,10627
Bone.2,6181
Bone.2,404734
Bone.2,55023
Bone.2,54882
Bone.2,3312
Bone.2,5108
Bone.2,10972
Bone.2,1523
Bone.2,84629
Bone.2,6085
Bone.2,124540
Bone.2,11333
Bone.2,9991
Bone.2,7150
Bone.2,1982
Bone.2,6227
Bone.2,54790
Bone.2,4566
Bone.2,100506492
Bone.2,6319
Bone.2,3150
Bone.2,100169761
Bone.2,100169762
Bone.2,100169763
Bone.2,10079
Bone.2,7916
Bone.3,10595
Bone.3,118430
Bone.3,169200
Bone.3,23129
Bone.3,3698
Bone.3,79689
Bone.3,345275
Bone.3,85441
Bone.3,9830
Bone.3,200162
Bone.3,2688
Bone.3,341640
Bone.3,7422
Bone.3,6563
Bone.3,195814
Bone.3,101927018
Bone.3,84187
Bone.3,6520
Bone.3,9866
Bone.3,10371
Bone.3,644068
Bone.3,100506930
Bone.3,5288
Bone.3,375743
Bone.3,219858
Bone.3,89765
Bone.3,84898
Bone.3,4676
Bone.3,54414
Bone.3,1191
Bone.3,25864
Bone.3,102465753
Bone.3,100169851
Bone.3,79955
Bone.3,25804
Bone.3,8777
Bone.3,100130449
Bone.3,101927599
Bone.3,26030
Bone.3,57102
Bone.3,5813
Bone.3,84733
Bone.3,54870
Bone.3,7881
Bone.3,26155
Bone.3,283209
Bone.3,80144
Bone.3,10092
Bone.3,10410
Bone.3,1303
Bone.3,345643
Bone.3,93210
Bone.3,8869
Bone.3,101060200
Bone.3,283248
Bone.3,56941
Bone.3,22853
Bone.3,60674
Bone.3,125058
Bone.3,3607
Bone.3,7029
Bone.3,283120
Bone.3,4680
Bone.3,55008
Bone.3,2824
Bone.3,139818
Bone.3,664618
Bone.3,221927
Bone.3,51259
Bone.3,58513
Bone.3,55206
Bone.3,171019
Bone.3,79842
Bone.3,693158
Bone.3,83872
Bone.3,100507246
Bone.3,284486
Bone.3,140545
Bone.3,332
Bone.3,55763
Bone.3,100169760
Bone.3,7311
Bone.3,55520
Bone.3,92815
Bone.3,340481
Bone.3,192111
Bone.3,135398
Bone.3,26000
Bone.3,54627
Bone.3,29948
Bone.3,5546
Bone.3,101929959
Bone.3,100129617
Bone.3,11342
Bone.3,400798
Bone.3,126375
Bone.3,4586
Bone.3,6772
Bone.3,26085
Bone.3,199720
Bone.3,28964
Bone.3,79073
Bone.3,90993
Bone.3,391356
Bone.3,23138
Bone.3,8666
Bone.3,84527
Bone.3,3915
Bone.3,51280
Bone.3,375790
Bone.3,1048
Bone.3,100129654
Bone.3,1896
Bone.3,387990
Bone.3,3872
Bone.3,50999
Bone.3,128710
Bone.3,23015
Bone.3,3397
Bone.3,6654
Bone.3,166979
Bone.3,171024
Bone.3,1486
Bone.3,4363
Bone.3,51741
Bone.3,11080
Bone.3,56919
Bone.3,1054
Bone.3,29128
Bone.3,57462
Bone.3,55970
Bone.3,389538
Bone.3,23508
Bone.3,1287
Bone.3,23032
Bone.3,493
Bone.3,80022
Bone.3,23413
Bone.3,79892
Bone.3,132014
Bone.3,51233
Bone.3,200879
Bone.3,55762
Bone.3,1302
Bone.3,219736
Bone.3,641467
Bone.3,3400
Bone.3,412
Bone.3,54968
Bone.3,7357
Bone.3,100288428
Bone.3,64135
Bone.3,6778
Bone.3,54780
Bone.3,90390
Bone.3,64925
Bone.3,10614
Bone.3,10056
Bone.3,548596
Bone.3,83607
Bone.3,55703
Bone.3,5184
Bone.3,85025
Bone.3,54663
Bone.3,84269
Bone.3,221545
Bone.3,116496
Bone.3,753
Bone.3,643836
Bone.3,8867
Bone.3,5796
Bone.3,7428
Bone.3,8346
Bone.3,10040
Bone.3,219844
Bone.3,8969
Bone.3,3315
Bone.3,7164
Bone.3,6451
Bone.3,26519
Bone.3,56977
Bone.3,9620
Bone.3,58478
Bone.3,8871
Bone.3,1289
Bone.3,51629
Bone.3,7433
Bone.3,6286
Bone.3,54777
Bone.3,100288413
Bone.3,53981
Bone.3,27291
Bone.3,7005
Bone.3,54534
Bone.3,29093
Bone.3,8644
Bone.3,64800
Bone.3,54830
Bone.3,116447
Bone.3,11031
Bone.3,5160
Bone.3,4703
Bone.3,6777
Bone.3,51134
Bone.3,64745
Bone.3,696
Bone.3,11227
Bone.3,155368
Bone.3,100126533
Bone.3,84619
Bone.3,1537
Bone.3,7706
Bone.3,563
Bone.3,7273
Bone.3,64837
Bone.3,140901
Bone.3,7486
Bone.3,83450
Bone.3,101928687
Bone.3,27034
Bone.3,57509
Bone.3,1994
Bone.3,26148
Bone.3,23139
Bone.3,5433
Bone.3,1265
Bone.3,728294
Bone.3,51696
Bone.3,26094
Bone.3,91869
Bone.3,10165
Bone.3,5049
Bone.3,222166
Bone.3,101927045
Bone.3,6558
Bone.3,27346
Bone.3,1512
Bone.3,57655
Bone.3,4851
Bone.3,154091
Bone.3,219654
Bone.3,103611081
Bone.3,4621
Bone.3,9592
Bone.3,27333
Bone.3,286410
Bone.3,80209
Bone.3,65003
Bone.3,84272
Bone.3,54453
Bone.3,1038
Bone.3,115572
Bone.3,339929
Bone.3,726
Bone.3,2686
Bone.3,50650
Bone.3,100133319
Bone.3,1238
Bone.3,55071
Bone.3,102724730
Bone.3,440348
Bone.3,10150
Bone.3,84985
Bone.3,116238
Bone.3,219681
Bone.3,101929529
Bone.3,102723566
Bone.3,22977
Bone.3,9798
Bone.3,101929467
Bone.3,64327
Bone.3,5921
Bone.3,121274
Bone.3,7991
Bone.3,23397
Bone.3,10102
Bone.3,9415
Bone.3,23558
Bone.3,65010
Bone.3,27112
Bone.3,84441
Bone.3,728215
Bone.3,23277
Bone.3,54606
Bone.3,57541
Bone.3,387254
Bone.3,80222
Bone.3,100131067
Bone.3,63874
Bone.3,11101
Bone.3,182
Bone.3,25777
Bone.3,29880
Bone.3,1176
Bone.3,116039
Bone.3,148254
Bone.3,9670
Bone.3,4564
Bone.3,8805
Bone.3,5704
Bone.3,65983
Bone.3,100009676
Bone.3,10129
Bone.3,254394
Bone.3,84131
Bone.3,4575
Bone.3,64105
Bone.3,677765
Bone.3,105377650
Bone.3,54788
Bone.3,51320
Bone.3,440145
Bone.3,643911
Bone.3,8335
Bone.3,23301
Bone.3,8669
Bone.3,256006
Bone.3,51637
Bone.3,22852
Bone.3,57568
Bone.3,8315
Bone.3,64282
Bone.3,92906
Bone.3,10848
Bone.3,51377
Bone.3,3419
Bone.3,101929796
Bone.3,2296
Bone.3,1917
Bone.3,100170229
Bone.3,126006
Bone.3,148189
Bone.3,338321
Bone.3,10370
Bone.3,101927770
Bone.3,151050
Bone.3,27148
Bone.3,63935
Bone.3,105371409
Bone.3,7593
Bone.3,105375092
Bone.3,6450
Bone.3,7851
Bone.3,51720
Bone.3,26099
Bone.3,57167
Bone.3,51072
Bone.3,8292
Bone.3,10629
Bone.3,23122
Bone.3,4488
Bone.3,2549
Bone.3,25845
Bone.3,440107
Bone.3,100506124
Bone.3,55
Bone.3,55578
Bone.3,54532
Bone.3,1836
Bone.3,5889
Bone.3,55616
Bone.3,51100
Bone.3,5427
Bone.3,90550
Bone.3,5715
Bone.3,3029
Bone.3,4477
Bone.3,81631
Bone.3,23463
Bone.3,23187
Bone.3,8405
Bone.3,339175
Bone.3,29988
Bone.3,6666
Bone.3,51550
Bone.3,10979
Bone.3,51195
Bone.3,2870
Bone.3,642236
Bone.3,5097
Bone.3,55222
Bone.3,79050
Bone.3,114926
Bone.3,2475
Bone.3,6672
Bone.3,80169
Bone.3,100189045
Bone.3,122704
Bone.3,81855
Bone.3,55620
Bone.3,8541
Bone.3,51054
Bone.3,5778
Bone.3,4081
Bone.3,64421
Bone.3,55055
Bone.3,23609
Bone.3,466
Bone.3,28974
Bone.3,54867
Bone.3,10785
Bone.3,26355
Bone.3,23286
Bone.3,4088
Bone.3,8518
Bone.3,27000
Bone.3,114991
Bone.3,89953
Bone.3,255762
Bone.3,23078
Bone.3,113026
Bone.3,5464
Bone.3,4706
Bone.3,6633
Bone.3,64764
Bone.3,79993
Bone.3,64151
Bone.3,51806
Bone.3,120
Bone.3,55033
Bone.3,8228
Bone.3,84445
Bone.3,26996
Bone.3,80142
Bone.3,57111
Bone.3,255104
Bone.3,128178
Bone.3,9786
Bone.3,339230
Bone.3,6542
Bone.3,51337
Bone.3,80135
Bone.3,56967
Bone.3,56006
Bone.3,526
Bone.3,833
Bone.3,55270
Bone.3,51363
Bone.3,84274
Bone.3,84293
Bone.3,121441
