genes,logFC
171220,3.173968828
57161,3.173968828
2274,3.173968828
285958,3.173968828
105373132,-3.915212381
8314,-3.896257601
4238,-3.896257601
2057,3.10702325
100169768,-2.972383856
22862,-3.23310526
3735,-3.428310421
5504,-3.424970494
58533,-3.675670331
199745,3.146213643
83695,-3.877050466
9833,-3.877050466
100288798,3.207137536
826,-3.202578543
100169767,-2.980746475
9725,-3.184814888
64327,-3.401371966
100169766,-2.9741645
7103,-3.857584165
23581,-3.837851608
116841,-3.832876008
103504728,-4.244021831
100169765,-2.960526841
91010,-4.320426587
26958,-4.278085616
220136,3.112687619
100169764,-2.955646186
514,-3.186349323
10978,3.279392363
101927659,3.279392363
100616434,4.044071202
51435,3.737730358
338427,3.605936941
647024,-3.827883188
54778,-3.817845411
1627,-3.807737305
58505,-3.802656569
3222,2.973505353
10454,2.871758672
51166,3.162101747
1054,-3.324587696
387893,-3.286328576
8780,-3.797557877
9444,-3.787306114
116983,-3.782152785
90411,-3.782152785
100189032,-3.776980981
890,-3.776980981
83892,-3.771790571
101927746,3.631851689
84695,3.444885188
677830,-3.317400337
51333,3.062869905
101928445,3.235704908
100505894,3.184090258
2705,3.08609084
200916,2.994327002
9716,-3.116019958
51175,3.023611188
100505854,2.876131538
4151,2.818247322
55040,-3.745554664
5476,-3.74024974
441234,3.072888809
9124,3.032760368
79684,2.754922484
26996,-3.070972042
5580,-3.713428513
222171,-3.70255883
9166,-3.70255883
90853,2.695107508
24137,-3.251050086
3855,-3.235881814
23152,-3.020947736
10438,2.784972518
8940,-3.686099191
23210,-3.680570648
9841,-3.669449595
9060,2.975528221
100335030,2.905910513
3556,2.839498148
57128,2.884892431
51149,2.855421135
84458,-3.228237453
1525,-3.221707746
90480,2.690825964
144501,-2.74168546
92558,-2.98945908
3110,2.765307437
100293704,3.024897576
3832,-3.205058291
58986,-3.197248401
776,-3.197248401
100500847,3.068824196
816,2.970824778
284498,2.924213393
79980,-3.658242149
128,-3.643200053
148229,3.014786657
441250,2.681828988
10120,2.774016077
51125,-2.976423241
1964,-2.882958839
8863,-3.18150063
374354,-3.18150063
360132,2.860173261
29993,-3.624087762
790,-3.621204727
84832,-3.614493812
10193,-3.61252089
8031,-3.600860529
4860,-3.600860529
85457,-3.600860529
140699,-4.07048212
9673,-3.157551904
401474,-3.134180962
9693,-3.133198908
23593,-3.133198908
4069,3.275417296
114757,3.190299205
2570,3.109924471
105373226,2.715870945
5802,-2.643954392
100507057,4.004075282
101927084,3.82246174
100874093,3.82246174
406997,3.516120896
100500873,3.516120896
100272216,3.268213384
256126,3.263572345
139231,-2.696056371
6097,2.812938409
23753,2.746526044
84447,2.617513138
1793,-2.909997272
222584,-3.577253213
54795,-3.565303095
2074,-3.559290711
79752,-3.559290711
283349,-3.108427761
9619,-3.108427761
2030,2.609501607
64386,2.671688662
100500815,-2.909048076
6472,2.582690888
50808,-3.100075285
5066,2.556777698
9480,-3.553253166
8491,-3.553253166
5899,-3.553253166
116828,-3.541101743
2203,-3.541101743
163183,2.826647405
7762,2.749591372
4582,2.508995957
3281,-2.881776895
7414,-2.774388772
57666,-2.769531785
100009613,2.551774673
677770,-2.499910873
388,-2.625717452
25896,-3.07472374
6309,-3.066173252
2644,2.716470996
6434,-2.709723862
574029,-3.713169767
56652,2.943542823
132160,2.845543405
57451,2.845543405
11191,2.798932019
55096,2.753779567
27031,2.563267529
56243,-2.630302564
8777,-2.871961587
4832,2.6878654
6506,2.776008911
10600,-3.504021044
55680,-3.497747199
5686,-3.491445952
10732,-3.491445952
3421,-3.491445952
83666,-3.967666863
100996724,-3.958758794
11155,3.13094484
54805,3.13094484
10324,2.996356951
100506217,2.785152967
1479,2.473395274
112479,-3.035841045
4571,-2.441125173
151636,-3.117438661
56154,2.546535405
57489,-3.0238806
11264,2.482270954
283989,-3.478760286
57599,-3.472375376
4052,-3.465962084
9684,-3.465962084
27342,-3.459520155
994,-3.453049332
178,-6.777525597
158471,-6.352790554
85320,5.423836207
100033420,5.506120465
81575,5.565682114
94025,-5.80982423
2114,5.656276491
692235,5.195552627
2567,6.063913797
729920,-5.396274899
117177,-5.383025023
10551,-5.351627042
399670,5.414117821
57418,5.823309937
282973,5.133264664
153572,4.673985028
122042,5.151565059
105370828,5.151565059
640,5.151565059
685,4.787851514
149069,4.573085856
252884,4.573085856
4779,-4.975589122
3158,4.088229892
145837,4.198112951
1847,4.553791412
100505795,4.007844189
5304,3.944292562
27295,5.140279082
104472713,4.366931493
9526,4.656957671
9885,-4.746465689
85379,-4.680605673
5570,4.718829446
100033427,4.479176355
100874188,4.16533222
339005,4.161107606
53353,-4.341498936
51018,-4.658781507
8359,4.085970641
574444,5.364863179
102724552,4.830359129
11144,4.830359129
136263,4.830359129
6990,4.022483653
57402,-4.007335434
148789,-4.604001002
100507034,4.050157936
406985,4.126327633
10734,3.955349763
51249,3.805098842
101928012,4.899675223
145258,4.593517513
7164,4.286789428
389333,3.972945293
105371937,4.274104194
80168,5.172733712
102724428,5.172733712
406886,5.172733712
440925,4.638229662
6473,4.638229662
55755,-4.115633127
9314,3.645613879
5165,-4.42595087
23262,-4.40279593
100861548,3.745369715
140545,3.64977842
4957,-4.391077591
25923,-4.049414137
100507240,4.456276685
100132781,4.456276685
5697,4.203852463
57338,4.092476953
692053,3.989086805
84898,-4.041865287
1783,-4.343228561
9882,-4.337134286
65072,3.605352056
100191040,4.094943159
28952,3.797344552
51004,3.532259602
100506606,3.597895384
84319,3.72370667
389668,3.64666219
3064,-4.268341078
54768,-4.98645802
114609,3.937790657
6049,-4.248995656
101928710,4.416524436
24142,4.208878907
83657,4.304594598
134728,4.304594598
100033431,4.052170376
55287,4.052170376
29083,3.837404718
387103,3.837404718
5829,-4.212840924
3856,-3.353194963
51304,-4.196102577
9685,-4.196102577
8334,3.503203918
202151,3.678575811
7474,-4.175756794
5074,-4.162031766
4649,-4.162031766
100033421,3.833172589
100033415,3.589103786
729085,4.951028485
100505989,4.951028485
7589,3.657517139
9690,-4.151651621
29920,3.261533045
284800,4.090595406
728882,3.858521501
26094,3.280040995
5594,-3.549767427
100169760,-3.109319294
10951,-4.105787426
149371,-4.098600167
9110,-4.098600167
5048,-4.091376922
203069,3.499471826
355,3.374030922
79739,3.294268273
4680,-4.081713627
7086,-4.076821025
