genes,logFC
117154,3.706670632
8412,3.678290671
149473,3.654215737
197135,3.654215737
1580,3.623869373
57710,3.623869373
100509620,3.623869373
100874244,3.623869373
90632,3.623419162
54970,3.592665226
440993,3.585743285
79029,3.576964196
22801,3.576964196
79740,3.571996193
374618,3.570086484
137872,3.570086484
643376,3.566894631
84216,3.560445464
153643,3.552277498
84125,3.537043249
55036,3.526704307
6517,3.508959863
222256,3.508959863
146754,3.495825761
6097,3.493333573
5664,3.489674095
100507057,3.454678402
79948,3.426775527
440836,3.425436634
342132,3.402368809
57106,3.386653741
8395,3.361887701
64063,3.345822147
105369190,3.317078389
55259,3.317078389
4861,3.317078389
130540,3.317078389
200942,3.317078389
105375110,3.317078389
100874366,3.313894151
100130987,3.311868354
79854,3.310466123
112611,3.309437946
720,3.290195251
653162,3.289231211
7127,3.271451076
2583,3.254014386
148696,3.2381009
1606,3.221346478
730183,3.210360139
400946,3.186268879
55200,3.174754018
474343,3.158627166
728621,3.146244597
79414,3.146244597
2891,3.146244597
3934,3.146244597
144535,3.13674178
10309,3.122452916
197358,3.10342646
441389,3.10342646
57139,3.082786081
10233,3.075418912
57085,3.072793145
25806,3.049786578
23604,3.023226456
259173,3.023226456
55330,3.023226456
8404,3.023226456
51127,2.988223795
57452,2.988223795
51537,2.973461492
166979,2.973451145
84812,2.967595711
345643,2.877200814
5778,2.876328759
89876,2.875299041
2912,2.873350645
122622,2.869550428
100129250,2.865054728
644096,2.863017316
51533,2.863017316
150082,2.857871417
399512,2.810329923
51192,2.790235749
115811,2.77774638
84100,2.77774638
84883,2.775300382
1767,2.771784652
100506599,2.770218775
375616,2.751578994
123872,2.742050175
286207,2.7315254
3104,2.674481908
4751,2.632795891
339231,2.625846081
79925,2.615849043
196475,2.542809645
4052,-2.658517397
27075,-2.759139035
286410,-2.821917657
80063,-2.844537786
4256,-2.929534341
10611,-2.997179591
23176,-3.038365165
63901,-3.053943473
3161,-3.070771612
25814,-3.104660399
728927,-3.110908282
6018,-3.136741205
79703,-3.148641625
55973,-3.148641625
92335,-3.164794953
1196,-3.176910748
9318,-3.232775212
79983,-3.232775212
8405,-3.292804366
157378,-3.405852079
1326,-3.431395981
84869,-3.431395981
116984,-3.466069384
80067,-3.516565356
202915,-3.533012081
2009,-3.549273424
56731,-3.564923315
7675,-3.565353519
171392,-3.565353519
57575,-3.568489524
81577,-3.599174317
1939,-3.612545621
55004,-3.627939401
7138,-3.627939401
57610,-3.658242791
401321,-3.665720218
84154,-3.673159089
10690,-3.687922741
4221,-3.70253684
51109,-3.70253684
199692,-3.70253684
124454,-3.731328287
23515,-3.731328287
159,-3.745511371
58493,-3.745511371
55789,-3.759556377
10529,-3.773856954
23429,-3.787242732
114884,-3.794082091
3992,-3.81385628
1627,-3.841070718
79031,-3.854219659
1838,-3.880163388
132430,-3.918224652
27249,-3.955307538
7594,-3.993482914
10371,-4.015069734
5433,-4.049773754
153527,-4.0978325
9831,-4.14199582
5376,-4.20152509
57335,-4.299780911
11228,-4.329437365
10206,-4.35510126
22905,-4.581777063
55167,-4.7788529
57211,-5.250978609
1048,-5.443710527
10202,4.977532077
105373990,4.932780868
101929567,4.726538983
353322,3.975036499
8632,3.859584814
105376526,3.846947373
27296,3.827319895
5358,3.807669398
57010,3.796749685
101927282,3.796749685
101927102,3.75098967
57514,3.722089916
78997,3.702178106
8110,3.659895584
147807,3.659895584
100506286,3.659895584
100873986,3.644467388
146177,3.628365928
100996761,3.58743365
6459,3.568427407
3563,3.542078866
102723320,3.529448445
91179,3.508685833
26468,3.508685833
105370641,3.442883811
2784,3.438684164
100130100,3.434014805
398,3.404458972
23566,3.339751896
64377,3.339751896
5452,3.339751896
57333,3.339751896
1950,3.339751896
652995,3.33636153
254559,3.333448984
57657,3.315786977
161497,3.312028611
101927233,3.302358524
1636,3.258161349
161142,3.221342586
10071,3.170257284
10873,3.157696546
399833,3.13031369
10663,3.103350815
400746,3.096353113
54033,3.096353113
11172,3.096353113
346157,3.072612759
4578,3.015795743
257106,2.986223387
101927217,2.973417705
84069,2.876559403
752014,2.876559403
4575,2.826399369
340706,2.81179794
54432,2.749189046
4564,2.736794181
114818,2.729693128
3747,2.623210785
57139,2.57204356
9383,2.541566745
54414,2.529916463
26869,2.499613478
6060,2.448669042
57575,-2.871487941
100169758,-2.884602363
100169759,-2.88724063
