genes,logFC
7433,3.249411022
6286,3.179209798
54777,3.753346733
100288413,3.499853059
53981,-3.345145342
27291,-4.111202185
7005,-4.093966692
54534,-4.093966692
29093,-4.076522798
8644,3.728208157
64800,3.624460221
54830,3.302955789
116447,-3.631317668
11031,-3.197615611
5160,-3.565698295
4703,2.996842621
6777,-4.058865403
51134,-4.040989215
64745,-4.040989215
696,4.006846787
11227,3.615159692
155368,3.615159692
100126533,-3.822976757
84619,-3.581652798
1537,-3.581652798
7706,-3.156037148
563,3.155671443
7273,-4.031967366
64837,-4.022888744
140901,-4.004558291
7486,-4.004558291
83450,3.449858303
101928687,-3.188886332
27034,3.26637783
57509,-3.317981096
1994,-3.523656721
26148,-3.517066405
23139,-3.51428947
5433,-3.503794766
1265,-3.985991937
728294,-3.985991937
51696,-3.985991937
26094,-3.967183529
91869,-3.967183529
10165,-3.967183529
5049,-3.212582469
222166,3.108595216
101927045,3.160164023
6558,2.864733664
27346,-3.490399905
1512,-3.47687951
57655,-3.47687951
4851,-3.47347952
154091,3.323789443
219654,3.200469096
103611081,3.200469096
4621,3.200469096
9592,-3.283067199
27333,-3.430941826
286410,-3.430941826
80209,-3.421494251
65003,-3.948126674
84272,-3.948126674
54453,-3.92881472
1038,-3.92881472
115572,3.464388696
339929,3.367603624
726,3.276905305
2686,3.276905305
50650,3.276905305
100133319,3.344912741
1238,3.344912741
55071,3.344912741
102724730,3.196139723
440348,3.157092372
10150,-3.449452555
84985,2.956438923
116238,3.069088037
219681,3.869919468
101929529,3.869919468
102723566,3.660823822
22977,3.596116111
9798,-3.16554249
101929467,3.547546609
64327,-2.914712646
5921,-3.239214335
121274,-3.909240743
7991,-3.909240743
23397,-3.899353256
10102,-3.889397537
9415,3.14852404
23558,-3.435541037
65010,3.262503989
27112,3.262503989
84441,3.139183642
728215,3.139183642
23277,-3.214720589
54606,-3.407308981
57541,-3.407308981
387254,-3.397726343
80222,-3.385766363
100131067,2.935544489
63874,3.016758598
11101,-3.869277592
182,-3.859111409
25777,-3.859111409
29880,-3.848873079
1176,-3.838561571
116039,-3.838561571
148254,3.377159236
9670,2.868347592
4564,-3.344191921
8805,-3.028887393
5704,-3.1898038
65983,2.910116995
100009676,3.040345028
10129,2.942203931
254394,-3.378513408
84131,-3.378513408
4575,-3.377349543
64105,-3.363897182
677765,-3.363897182
105377650,3.083922441
54788,-3.828175833
51320,-3.828175833
440145,-3.796562345
643911,-3.785868677
8335,-3.785868677
23301,-3.303017013
8669,-3.297862901
256006,2.897115558
51637,-3.059260769
22852,-3.048188945
57568,-3.349131361
8315,-3.349131361
64282,-3.349131361
92906,-3.349131361
10848,-3.319138454
51377,-3.197344835
3419,-3.282289155
101929796,-3.319389715
2296,2.86229061
1917,-2.780868179
100170229,2.87477462
126006,3.718620312
148189,3.718620312
338321,3.718620312
10370,-3.303904887
101927770,-3.296227355
151050,-3.288508748
27148,-3.764240568
63935,-3.764240568
105371409,-3.742283281
7593,-3.742283281
105375092,3.38806222
6450,3.284314284
7851,3.187529211
51720,-3.250628054
26099,-2.938368469
57167,2.766481447
51072,-3.467469315
8292,3.044489416
10629,2.791625437
23122,-2.983791123
4488,2.699904111
2549,-3.272946531
25845,3.096830836
440107,3.432475963
100506124,3.432475963
55,3.17898229
55578,-2.908024049
54532,-3.067472618
1836,2.817043389
5889,-2.854297508
55616,2.906801663
51100,-3.708707754
5427,-3.708707754
90550,-3.697339993
5715,-3.697339993
3029,-3.697339993
4477,-3.207302535
81631,-3.201794204
23463,-3.196264761
23187,-3.196264761
8405,-3.196264761
339175,-3.190714043
29988,2.78191875
6666,-3.225226586
51550,2.878835206
10979,-3.173932591
51195,-3.173932591
2870,-3.173932591
642236,3.487085929
5097,2.666034219
55222,2.772217066
79050,2.772217066
114926,2.772217066
2475,-3.025841753
6672,-2.912318968
80169,-3.685881949
100189045,-3.674332174
122704,-3.674332174
81855,-3.650951475
55620,-3.650951475
8541,-3.650951475
51054,3.185080782
5778,2.997597391
4081,2.997597391
64421,-3.151249288
55055,-3.37400496
23609,-3.091621934
466,-3.20896261
28974,-3.20896261
54867,-3.20896261
10785,-3.20896261
26355,-3.20896261
23286,-3.20896261
4088,-2.706362941
8518,-2.834635177
27000,-2.781591503
114991,-2.982973789
89953,2.732264564
255762,2.701510025
23078,-3.139772477
113026,-3.133999652
5464,-3.128203634
4706,-3.116541271
6633,-3.116541271
64764,2.590406993
79993,-2.981618443
64151,-2.975175291
51806,2.71327813
120,2.758125885
55033,2.758125885
8228,2.758125885
84445,-3.175874055
26996,-3.175874055
80142,-3.175874055
57111,-3.159040772
255104,2.987450917
128178,2.987450917
9786,-2.965952751
339230,2.619039741
6542,-2.554792407
51337,2.578850646
80135,-3.627185612
56967,-3.627185612
56006,-3.627185612
526,-3.627185612
833,-3.615154237
55270,-3.615154237
51363,-3.603021682
84274,-3.603021682
84293,-3.09292985
121441,-3.09292985
63920,2.793271831
85359,2.716128246
8399,3.401904834
11137,-2.942520701
374,-2.642947938
10023,3.54957475
101927911,3.54957475
400541,3.157887655
1748,3.157887655
7025,3.157887655
154865,3.157887655
10053,-2.798330988
8125,-2.67527838
1643,-3.142008757
147841,-3.08097763
2997,-3.08097763
11012,2.544853788
10127,-2.909109841
138429,2.705143781
6097,3.023778294
4043,-2.768615183
79832,-2.594028974
440519,2.894598023
220042,2.594690131
246175,-2.775963041
8604,2.592637308
9886,2.586446837
157570,2.556825246
60673,-3.578446122
79170,-3.578446122
50509,-3.578446122
134492,-3.578446122
