raw_id,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,sample,tumor,Cell_line,Estrogen_status
Adrenal.2,165721,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6586,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,9844,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55026,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,221491,-4.076726966,-4.228485044,2.483569702,0.016799172,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,123041,4.039510931,4.208226498,2.254651323,0.01790058,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,653641,4.137775607,4.339539733,2.136660112,0.017944938,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,916,4.424699763,4.74879488,1.868505827,0.017994105,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,259232,4.424699763,4.74879488,1.868505827,0.017994105,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2947,3.204493595,3.2121954,5.562821123,0.01838225,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2069,-4.006788459,-4.158095716,2.427818038,0.01887972,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5799,3.443135291,3.485760474,3.427145717,0.019211502,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,84229,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,1770,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79853,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,57091,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,132204,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,22798,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,116443,3.995436665,4.163832379,2.220173477,0.019273131,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,3908,3.522012882,3.578869878,3.123918051,0.019442125,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,23495,3.663597116,3.74879488,2.740773918,0.019624159,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5923,3.499376872,3.556149802,3.10495739,0.020234329,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,54768,3.235694598,3.254497652,4.338510387,0.020654636,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55071,-3.933285989,-4.084095135,2.369781778,0.021309617,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,116285,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,400867,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,89766,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,151887,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,131034,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,80258,3.6025032,3.687394335,2.691008855,0.021801145,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,653113,4.300444477,4.623263997,1.777063091,0.021945423,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,64333,4.300444477,4.623263997,1.777063091,0.021945423,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,253573,4.300444477,4.623263997,1.777063091,0.021945423,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,93432,4.300444477,4.623263997,1.777063091,0.021945423,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,8224,3.912542219,4.080309023,2.156002244,0.0221096,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,388697,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,84457,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,348021,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,114088,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,390598,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,930,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,391257,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100505625,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,23414,3.903030689,4.070722974,2.148696314,0.022457555,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,128102,3.429256525,3.485760474,3.046561821,0.022875461,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,3778,3.429256525,3.485760474,3.046561821,0.022875461,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,400891,3.570957848,3.655685475,2.665480617,0.023007399,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,80122,3.331004322,3.373285744,3.332260174,0.023439841,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10100,3.538707291,3.623263997,2.639501734,0.024301586,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,728194,4.234058687,4.556149802,1.729117869,0.024352593,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79747,3.380541673,3.436850873,3.006301419,0.024887473,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79838,3.291603255,3.33375738,3.299217816,0.025112759,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,12,2.978942395,2.981808417,6.745525409,0.025744704,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5858,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,51411,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,91807,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,339145,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,646457,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5136,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,199221,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10891,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
