sample  ,gene
E2_tibia_MCF7_5.1,ERCC6L
E2_tibia_MCF7_5.1,ABCA10
E2_tibia_MCF7_5.1,GTF2H3
E2_tibia_MCF7_5.1,RNF213-AS1
E2_tibia_MCF7_5.1,TTC30A
E2_tibia_MCF7_5.1,EEF1AKMT3
E2_tibia_MCF7_5.1,GPKOW
E2_tibia_MCF7_5.1,PLEKHA8P1
E2_tibia_MCF7_5.1,EMC7
E2_tibia_MCF7_5.1,GPRC5D-AS1
E2_tibia_MCF7_5.1,FBLN1
E2_tibia_MCF7_5.1,ZNF682
E2_tibia_MCF7_5.1,FAM161B
E2_tibia_MCF7_5.1,WASF3
E2_tibia_MCF7_5.1,AKAP17A
E2_tibia_MCF7_5.1,OXLD1
E2_tibia_MCF7_5.1,UBOX5
E2_tibia_MCF7_5.1,C9orf16
E2_tibia_MCF7_5.1,TMEM68
E2_tibia_MCF7_5.1,ABCA17P
E2_tibia_MCF7_5.1,PKIA
E2_tibia_MCF7_5.1,GATA6
E2_tibia_MCF7_5.1,KIN
E2_tibia_MCF7_5.1,LINC01184
E2_tibia_MCF7_5.1,ERICH6-AS1
E2_tibia_MCF7_5.1,VAX2
E2_tibia_MCF7_5.1,PRKRA
E2_tibia_MCF7_5.1,HYAL2
E2_tibia_MCF7_5.1,TRIM11
E2_tibia_MCF7_5.1,INAVA
E2_tibia_MCF7_5.1,MAK16
E2_tibia_MCF7_5.1,HSPBAP1
E2_tibia_MCF7_5.1,ZRSR2
E2_tibia_MCF7_5.1,COL7A1
E2_tibia_MCF7_5.1,HOXB5
E2_tibia_MCF7_5.1,AVEN
E2_tibia_MCF7_5.1,NCBP3
E2_tibia_MCF7_5.1,CFLAR-AS1
E2_tibia_MCF7_5.1,TBL2
E2_tibia_MCF7_5.1,PCDHB11
E2_tibia_MCF7_5.1,COLCA1
E2_tibia_MCF7_5.1,APH1B
E2_tibia_MCF7_5.1,SYT17
E2_tibia_MCF7_5.1,SIRPA
E2_tibia_MCF7_5.1,YPEL2
E2_tibia_MCF7_5.1,CD5
E2_tibia_MCF7_5.1,PRG4
E2_tibia_MCF7_5.1,SNCAIP
E2_tibia_MCF7_5.1,MAP6
E2_tibia_MCF7_5.1,EXOSC3
E2_tibia_MCF7_5.1,INIP
E2_tibia_MCF7_5.1,FEM1C
E2_tibia_MCF7_5.1,ZNF418
E2_tibia_MCF7_5.1,USP53
E2_tibia_MCF7_5.1,NMU
E2_tibia_MCF7_5.1,PLCD1
E2_tibia_MCF7_5.1,HNRNPA1L2
E2_tibia_MCF7_5.1,NBR2
E2_tibia_MCF7_5.1,FCHO2
E2_tibia_MCF7_5.1,MSANTD3-TMEFF1
E2_tibia_MCF7_5.1,SLCO2A1
E2_tibia_MCF7_5.1,RIPPLY3
E2_tibia_MCF7_5.1,CAPN8
E2_tibia_MCF7_5.1,INE1
E2_tibia_MCF7_5.1,SLC24A3
E2_tibia_MCF7_5.1,CRYZL2P
E2_tibia_MCF7_5.1,FER1L4
E2_tibia_MCF7_5.1,ABRAXAS1
E2_tibia_MCF7_5.1,CEACAM5
E2_tibia_MCF7_5.1,GCSAM
E2_tibia_MCF7_5.1,MARCHF1
E2_tibia_MCF7_5.1,C18orf65
E2_tibia_MCF7_5.1,PABPN1L
E2_tibia_MCF7_5.1,CACNA2D4
E2_tibia_MCF7_5.1,PAXBP1-AS1
E2_tibia_MCF7_5.1,ALS2CL
E2_tibia_MCF7_5.1,SAMD15
E2_tibia_MCF7_5.1,FAM183A
E2_tibia_MCF7_5.1,ZNF716
E2_tibia_MCF7_5.1,UGDH-AS1
E2_tibia_MCF7_5.1,WDR97
E2_tibia_MCF7_5.1,AGAP5
E2_tibia_MCF7_5.1,AC107982.1
E2_tibia_MCF7_5.1,MIR612
E2_tibia_MCF7_5.1,THOC7-AS1
E2_tibia_MCF7_5.1,MIR4429
E2_tibia_MCF7_5.1,MIR1279
E2_tibia_MCF7_2.11,CEACAM6
E2_tibia_MCF7_2.11,CEACAM5
E2_tibia_MCF7_2.11,S100P
E2_tibia_MCF7_2.11,MALL
E2_tibia_MCF7_2.11,CAPN5
E2_tibia_MCF7_2.11,VIPR1
E2_tibia_MCF7_2.11,TTC9
E2_tibia_MCF7_2.11,PCDH1
E2_tibia_MCF7_2.11,STS
E2_tibia_MCF7_2.11,GALNT5
E2_tibia_MCF7_2.11,FAM83A
E2_tibia_MCF7_2.11,STEAP4
E2_tibia_MCF7_2.11,MUC5AC
E2_tibia_MCF7_2.11,AKR1C3
E2_tibia_MCF7_2.11,PLA2G10
E2_tibia_MCF7_2.11,PGAP3
E2_tibia_MCF7_2.11,TMEM8B
E2_tibia_MCF7_2.11,IQUB
E2_tibia_MCF7_2.11,RORC
E2_tibia_MCF7_2.11,PDZD2
E2_tibia_MCF7_2.11,GGT7
E2_tibia_MCF7_2.11,ARMC3
E2_tibia_MCF7_2.11,C9orf152
E2_tibia_MCF7_2.11,LIPH
E2_tibia_MCF7_2.11,SDR16C5
E2_tibia_MCF7_2.11,MUCL1
E2_tibia_MCF7_2.11,TENT5B
E2_tibia_MCF7_2.11,DRC3
E2_tibia_MCF7_2.11,PHF7
E2_tibia_MCF7_2.11,EFCAB6
E2_tibia_MCF7_2.11,RSPH1
E2_tibia_MCF7_2.11,CDC20B
E2_tibia_MCF7_2.11,CFAP46
E2_tibia_MCF7_2.11,FRAT1
E2_tibia_MCF7_2.11,SLC26A2
E2_tibia_MCF7_2.11,KLK13
E2_tibia_MCF7_2.11,ASAP3
E2_tibia_MCF7_2.11,KLK11
E2_tibia_MCF7_2.11,MYORG
E2_tibia_MCF7_2.11,METTL27
E2_tibia_MCF7_2.11,SPAG17
E2_tibia_MCF7_2.11,SLC12A2
E2_tibia_MCF7_2.11,GRAMD2B
E2_tibia_MCF7_2.11,NIBAN1
E2_tibia_MCF7_2.11,CREB3L2
E2_tibia_MCF7_2.11,FADS2
E2_tibia_MCF7_2.11,THEM6
E2_tibia_MCF7_2.11,MSX2
E2_tibia_MCF7_2.11,GOLM1
E2_tibia_MCF7_2.11,FRY
