genes,logFC,logCPM,PValue,FDR
780852,-2.892607375,10.5012932,0.025034975,0.241965941
574040,-2.902776321,9.609461233,0.031159072,0.267153256
22948,-2.96278435,8.776299979,0.036952626,0.281273098
7905,-2.968494422,9.663819608,0.027777614,0.2565417
57522,-2.988617122,9.16183068,0.032707913,0.272960013
1106,-2.989171392,10.47244154,0.02181343,0.226704704
3488,-3.002848591,8.299327918,0.045910598,0.308745059
26805,-3.022739808,8.315881525,0.044738706,0.30411017
3921,-3.039552189,9.203940538,0.029759937,0.265261474
3192,-3.041159123,10.39017298,0.020281083,0.219535898
9057,-3.050861349,8.339285854,0.042508549,0.299991265
811,-3.054219916,9.216078766,0.02898134,0.263616212
5802,-3.071141575,8.865939486,0.030389761,0.266869681
677807,-3.072449532,9.51581441,0.024843397,0.241236351
5872,-3.083045156,8.875797786,0.029870638,0.265261474
595,-3.083692023,9.759490091,0.022321347,0.226704704
473,-3.086736665,8.369146234,0.039425528,0.290518606
4509,-3.088957721,11.82951692,0.015346894,0.193252882
7150,-3.125102711,8.910647459,0.030565969,0.266874298
4179,-3.134965811,9.802234088,0.020284356,0.219535898
7095,-3.176377488,8.953175149,0.027705666,0.2565417
1938,-3.180487926,10.85681522,0.014551057,0.189011663
57402,-3.189274473,9.328103463,0.022474095,0.226704704
57182,-3.203531892,8.466391463,0.032505662,0.272365988
26768,-3.221908049,11.08455507,0.013043224,0.178314599
2803,-3.229026218,10.4098577,0.014663912,0.189264652
440270,-3.243591976,8.139930851,0.039124416,0.290114293
5499,-3.31917998,8.20324117,0.033834312,0.277249178
54431,-3.334635628,8.575636229,0.025349805,0.243874513
780854,-3.354651567,10.97504499,0.010359426,0.172618881
1622,-3.370268863,9.479021135,0.016032575,0.194828605
57674,-3.370660023,10.20046422,0.012130501,0.176273995
23512,-3.38104513,7.749062598,0.048606195,0.3155606
9917,-3.400732846,8.630759925,0.02229734,0.226704704
677826,-3.410202574,8.638660506,0.021835757,0.226704704
682,-3.431969969,7.792144378,0.043264312,0.299991265
9097,-3.435671626,7.79527496,0.043264312,0.299991265
9110,-3.446719951,7.804618033,0.043264312,0.299991265
6090,-3.450384004,7.807716308,0.041653546,0.297443534
5226,-3.454038774,7.810806611,0.041653546,0.297443534
26298,-3.457684309,7.813888983,0.041653546,0.297443534
283463,-3.461106745,10.87460307,0.008748574,0.170816069
23015,-3.463061457,8.323738912,0.026434964,0.249988253
652966,-3.471540049,10.08539856,0.010632924,0.172618881
6421,-3.487369121,9.863111674,0.011288365,0.175401727
85456,-3.502958785,8.716091856,0.018554399,0.207290546
1108,-3.534540494,9.616842387,0.01167631,0.175401727
84629,-3.557878214,9.922749068,0.009819576,0.172618881
9517,-3.602554265,8.799335257,0.015296451,0.193252882
1072,-3.610642169,9.315464941,0.01228007,0.177208237
84181,-3.631989925,8.82396098,0.016793785,0.199414201
2195,-3.642307776,9.70772575,0.009508263,0.172618881
26831,-3.655974868,9.353534108,0.011249824,0.175401727
8476,-3.673972997,10.02135787,0.007780913,0.16378827
1822,-3.689492773,9.577268111,0.009407237,0.172618881
10142,-3.699410966,9.390060333,0.01032898,0.172618881
2782,-3.706901312,8.88668358,0.014553352,0.189011663
4781,-3.725354181,10.0651677,0.007068436,0.157937742
4645,-3.767837964,8.937764623,0.01290145,0.17806587
79026,-3.798221801,11.16891669,0.004436115,0.12983446
23524,-3.815870829,11.30188271,0.004186846,0.127945096
79666,-3.817079347,8.979083873,0.011868032,0.175401727
7520,-3.828127051,8.126592415,0.021735211,0.226704704
7803,-3.828127051,8.126592415,0.021735211,0.226704704
23288,-3.828127051,8.126592415,0.021735211,0.226704704
9782,-3.831952723,8.991572096,0.011484792,0.175401727
10236,-3.887248763,9.038033479,0.01026354,0.172618881
1975,-3.898623376,9.047597369,0.010103073,0.172618881
10336,-3.933987075,8.215826246,0.01759561,0.205413925
166,-3.94441794,8.224617393,0.017090417,0.200809002
6142,-3.972286743,8.248104402,0.016603872,0.198292218
54904,-4.043281968,9.169438191,0.007588879,0.162574124
11273,-4.047199027,8.311234601,0.014423043,0.189011663
10765,-4.048142628,9.173539266,0.00748034,0.161918187
8976,-4.066826957,7.470730882,0.037842046,0.283495093
8148,-4.09034381,7.490860441,0.037842046,0.283495093
23054,-4.097137156,8.353318328,0.012939339,0.17806587
1363,-4.106456273,8.361171909,0.012599688,0.17806587
408050,-4.140604858,7.257637244,0.042613667,0.299991265
9276,-4.143142191,8.392089636,0.011954343,0.175401727
7534,-4.161430117,9.781907493,0.004111455,0.127516477
101060684,-4.203664874,8.59419637,0.009461129,0.172618881
5297,-4.222974212,7.965319642,0.018493656,0.207290546
7430,-4.235585697,9.332077249,0.005181162,0.143552735
6431,-4.247914222,8.480404427,0.009763421,0.172618881
